Year	Landings	Discards	Total	Discard Rate	Rounded discard rate		Table 2. 2023 SR
1998	55.7	4.8	60.5	0.086	0.09		
1999	75.2	7.7	82.9	0.102	0.10		
2000	129.5	12.8	142.3	0.099	0.10		
2001	341.5	16.1	357.6	0.047	0.05		
2002	177.2	26.4	203.6	0.149	0.15		
2003	457.9	41.4	499.3	0.090	0.09		
2004	417.6	26.8	444.4	0.064	0.06		
2005	265.2	28.6	293.8	0.108	0.11		
2006	142.7	10.5	153.2	0.074	0.07		
2007	55	12.9	67.9	0.235	0.23		
2008	104.6	6.6	111.2	0.063	0.06		
2009	365.5	56.1	421.6	0.153	0.15		
2010	577.3	24.6	601.8	0.043	0.04		
2011	501.7	9.4	511.1	0.019	0.02		
2012	399.4	18.5	417.9	0.046	0.05		
2013	360.7	28.7	389.4	0.080	0.08		
2014	442.1	11.9	454	0.027	0.03		
2015	445.3	3.5	448.8	0.008	0.01		
2016	323.4	2.1	325.5	0.006	0.01		
2017	163.8	0.8	164.6	0.005	0.00		
2018	22.7	0.3	22.9	0.013	0.01		
2019	43	4	47	0.093	0.09		
2020	45.6	3.7	49.2	0.081	0.08		
2021	79.2	1.3	80.5	0.016	0.02		
2022	134.9	0.5	135.4	0.004	0.00		
