year,mean_weight
1956,2.535
1957,2.493
1958,2.288
1959,2.513
1960,2.631
1961,2.528
1962,2.216
1963,1.97
1964,2.458
1965,2.504
1966,2.198
1967,2.595
1968,2.582
1969,2.313
1970,1.882
1971,1.891
1972,1.983
1973,2.309
1974,2.177
1975,2.266
1976,2.209
1977,2.378
1978,2.533
1979,2.368
1980,2.104
1981,2.023
1982,2.211
1983,1.985
1984,1.898
1985,2.047
1986,2.539
1987,1.311
1988,2.089
1989,2.817
1990,3.183
1991,2.606
1992,1.955
1993,2.633
1994,1.788
1995,2.497
1996,1.31
1998,1.828
1999,1.411
2000,1.844
2001,1.943
2002,2.303
2003,2.008
2004,1.982
2005,2.171
2006,2.159
2007,1.204
2008,1.373
2009,1.342
2010,1.629
2011,2.231
2012,2.624
2013,1.803
2014,1.775
2015,1.987
2016,1.896
2017,3.034
2019,1.399
